GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Morgan, IN",2020,1977847,3419057,71848,23915,719400
"Newton, IN",2020,360136,630458,13786,4804,145263
"Noble, IN",2020,1946347,2086026,47453,22900,786643
"Ohio, IN",2020,127795,292175,5922,1787,43047
"Orange, IN",2020,612140,804766,19848,9590,286767
"Owen, IN",2020,564923,946525,21314,7866,243244
"Parke, IN",2020,407146,703248,16155,5651,126204
"Perry, IN",2020,695923,759506,19151,8341,283307
"Pike, IN",2020,666754,546288,12247,4263,170651
"Porter, IN",2020,6970824,9746755,173295,80575,3069722
"Posey, IN",2020,2830099,1397747,25173,11922,569151
"Pulaski, IN",2020,672784,614445,12523,6386,224495
"Putnam, IN",2020,1143855,1558151,36679,17490,569143
"Randolph, IN",2020,795893,1057065,24409,9377,289115
"Ripley, IN",2020,1207897,1333026,28968,15714,636389
"Rush, IN",2020,598310,818747,16767,7268,216275
"Scott, IN",2020,731918,1002571,24371,10186,348400
"Shelby, IN",2020,1999150,2125128,45058,22985,877361
"Spencer, IN",2020,908819,973955,19835,9218,310098
"St. Joseph, IN",2020,14300429,13654333,272672,154191,6431865
"Starke, IN",2020,549250,888926,23380,6612,166696
"Steuben, IN",2020,1481285,1662753,34453,20293,670784
"Sullivan, IN",2020,841382,812614,20819,7633,272955
"Switzerland, IN",2020,233551,377846,9742,3124,74207
"Tippecanoe, IN",2020,10131066,7925549,186369,111557,4702007
"Tipton, IN",2020,629846,753206,15386,7333,265291
"Union, IN",2020,152220,310755,7081,2318,49823
"Vanderburgh, IN",2020,11452986,9129768,180331,126734,5597882
"Vermillion, IN",2020,905282,653622,15409,5909,234469
"Vigo, IN",2020,4703602,4478176,106119,57506,2245894
"Wabash, IN",2020,1202538,1431155,30936,15530,508182
"Warren, IN",2020,242095,408357,8424,3080,87592
"Warrick, IN",2020,2411408,3944989,63996,25152,918772
"Washington, IN",2020,646857,1208991,28242,9540,242999
"Wayne, IN",2020,2854197,3012187,66513,37278,1338053
"Wells, IN",2020,1113445,1295200,28167,14220,476613
"White, IN",2020,1079976,1165404,24668,12510,422721
"Whitley, IN",2020,1550306,1708073,34338,17351,646094
"Adams, IN",2021,1993204,1704186,35939,20647,658924
"Allen, IN",2021,23189094,21710667,389112,250202,11139091
"Bartholomew, IN",2021,7205692,4956752,82730,59219,3211383
"Benton, IN",2021,577181,469208,8714,3630,106907
"Blackford, IN",2021,377474,528282,12056,4101,132719
"Boone, IN",2021,4468773,6259253,73006,51821,2125684
"Brown, IN",2021,314052,894391,15573,5538,104907
"Carroll, IN",2021,826550,1037035,20502,8517,260615
"Cass, IN",2021,1641121,1781854,37579,18421,680580
"Clark, IN",2021,6162758,6402767,122847,71313,2929627
"Clay, IN",2021,859843,1185654,26370,10625,320817
"Clinton, IN",2021,1688539,1506611,33025,14904,555249
"Crawford, IN",2021,192076,436252,10491,3217,79846
"Daviess, IN",2021,1544074,1797339,33381,18360,583999
"DeKalb, IN",2021,2945785,2342476,43369,27759,1300432
"Dearborn, IN",2021,2143700,2885810,50946,20239,694107
"Decatur, IN",2021,1749984,1373261,26322,17903,738938
"Delaware, IN",2021,4486204,5048854,111981,58143,2288144
"Dubois, IN",2021,2943904,2743333,43625,34546,1409575
"Elkhart, IN",2021,19271838,11692033,207066,167144,9142101
"Fayette, IN",2021,629405,1107094,23376,8379,282239
"Floyd, IN",2021,3334295,4800464,80606,42357,1649690
"Fountain, IN",2021,536365,822430,16466,6796,207997
"Franklin, IN",2021,596487,1275576,22857,8046,194536
"Fulton, IN",2021,799004,1013063,20380,9380,293697
"Gibson, IN",2021,3569406,1777597,32954,24993,1277167
"Grant, IN",2021,2659869,3109139,66203,34496,1310795
"Greene, IN",2021,714765,1549405,30826,10763,289061
"Hamilton, IN",2021,23338012,32135791,357330,227213,10703256
"Hancock, IN",2021,3854777,4836683,81855,37829,1457984
"Harrison, IN",2021,1315412,2102387,39817,15559,496214
"Hendricks, IN",2021,8941535,10368123,179555,106395,4089553
"Henry, IN",2021,1606459,2259915,49036,17874,594714
"Howard, IN",2021,4488369,3963612,83642,45316,1965901
"Huntington, IN",2021,1665220,1848775,36792,18288,648676
"Jackson, IN",2021,2902275,2235916,46285,27655,1207710
"Jasper, IN",2021,1709612,1860243,33113,15545,537947
"Jay, IN",2021,1068985,991599,20309,9711,304455
"Jefferson, IN",2021,1794889,1666776,33119,16678,611881
"Jennings, IN",2021,802310,1341358,27507,10593,356142
"Johnson, IN",2021,6676447,9385226,164418,84375,3035969
"Knox, IN",2021,2080961,1935565,35964,22222,838032
"Kosciusko, IN",2021,6587398,4541756,80323,48488,2171159
"LaPorte, IN",2021,4521182,5528009,112486,52792,2064587
"Lagrange, IN",2021,2043589,2140301,40538,23584,863754
"Lake, IN",2021,24480668,26200210,499327,247476,11068464
"Lawrence, IN",2021,1592241,2321905,45045,19617,671970
"Madison, IN",2021,4268270,6035585,130979,54406,1951076
"Marion, IN",2021,104833855,64434913,971647,766068,43531112
"Marshall, IN",2021,1843710,2377368,46175,24365,878232
"Martin, IN",2021,1233551,488296,9799,9858,627238
"Miami, IN",2021,1090148,1469358,36032,12881,435689
"Monroe, IN",2021,7649573,7384606,140135,91905,3777511
"Montgomery, IN",2021,1938180,1876052,38061,20125,807958
"Morgan, IN",2021,1947639,3777410,72260,24683,773759
"Newton, IN",2021,422369,704960,13793,4942,150933
"Noble, IN",2021,2129588,2313103,47419,23291,828255
"Ohio, IN",2021,134285,319610,5992,1788,46260
"Orange, IN",2021,713545,872251,19812,9874,314350
"Owen, IN",2021,622451,1044473,21432,8097,279904
"Parke, IN",2021,458441,795259,16486,5876,137890
"Perry, IN",2021,846720,843099,19317,8299,309283
"Pike, IN",2021,836182,574690,12178,3998,145781
"Porter, IN",2021,7992731,10684546,174517,83210,3416295
"Posey, IN",2021,3785981,1467039,25129,12020,572802
"Pulaski, IN",2021,775882,668188,12370,6389,225202
"Putnam, IN",2021,1211016,1721268,37016,17475,589178
"Randolph, IN",2021,958769,1242272,24437,10323,349544
"Ripley, IN",2021,1296592,1471402,29017,15617,674975
"Rush, IN",2021,722542,915864,16699,7467,232485
"Scott, IN",2021,788540,1081437,24437,10224,371956
"Shelby, IN",2021,2208610,2322184,45025,23251,911508
"Spencer, IN",2021,1111952,1067780,19875,9650,334024
"St. Joseph, IN",2021,15740655,15067647,272341,156625,6998642
"Starke, IN",2021,565659,979927,23378,6706,175304
"Steuben, IN",2021,1663314,1858262,34666,21131,753184
"Sullivan, IN",2021,1056536,899327,20781,7646,281954
"Switzerland, IN",2021,238315,409036,9849,3044,77175
"Tippecanoe, IN",2021,10779671,8674110,187566,116150,4972834
"Tipton, IN",2021,701043,794603,15393,7491,271869
"Union, IN",2021,167880,341707,7014,2384,52043
"Vanderburgh, IN",2021,12346968,9984843,180267,130594,5975573
"Vermillion, IN",2021,1032822,708079,15440,5996,261536
"Vigo, IN",2021,5094465,4857881,106084,58440,2373941
"Wabash, IN",2021,1408022,1597982,30897,16000,556727
"Warren, IN",2021,353987,447784,8459,3151,94824
"Warrick, IN",2021,2812334,4287949,64623,25785,945493
"Washington, IN",2021,736431,1345974,28151,9948,267633
"Wayne, IN",2021,3093331,3263001,66490,37594,1410302
"Wells, IN",2021,1274389,1432834,28177,14344,515254
"White, IN",2021,1229348,1282707,24662,12727,448560
"Whitley, IN",2021,1967086,1857664,34492,17918,732914
