GeoName,Year,All industry total,Personal income (thousands of dollars),Population (persons) 3/,Total employment,Wages and salaries
"Grant, IN",2012,2498951,2326980,69402,35123,1100859
"Greene, IN",2012,567383,1097894,32629,10916,215715
"Hamilton, IN",2012,13171555,17612649,290713,164693,5804229
"Hancock, IN",2012,1935922,3004088,70721,30077,853920
"Harrison, IN",2012,923119,1402274,38800,16128,361414
"Hendricks, IN",2012,4541753,6199006,151215,72892,2107976
"Henry, IN",2012,987949,1548665,49315,17120,425453
"Howard, IN",2012,4443058,2849175,83059,46385,1719096
"Huntington, IN",2012,1240355,1302631,37033,18766,507659
"Jackson, IN",2012,1894598,1611334,43453,24015,764220
"Jasper, IN",2012,1308919,1275813,33385,15734,441849
"Jay, IN",2012,821083,718838,21358,10814,267427
"Jefferson, IN",2012,1331645,1159636,32659,16413,474011
"Jennings, IN",2012,615729,908123,28165,10261,274674
"Johnson, IN",2012,3870755,5892377,143829,63860,1712790
"Knox, IN",2012,1492201,1428089,37927,22304,673360
"Kosciusko, IN",2012,4538832,3003200,77844,45763,1654049
"LaPorte, IN",2012,3871097,3993382,111902,53671,1642835
"Lagrange, IN",2012,1136450,1176549,37749,19444,461276
"Lake, IN",2012,22847359,18402934,496018,244118,9392647
"Lawrence, IN",2012,1041213,1533779,46022,18471,468600
"Madison, IN",2012,3271777,4108376,130319,52434,1469095
"Marion, IN",2012,81540725,41915923,922252,705986,31152007
"Marshall, IN",2012,1520019,1604110,46937,23976,653715
"Martin, IN",2012,867844,340924,10256,8856,484820
"Miami, IN",2012,829967,1049101,36686,13346,355839
"Monroe, IN",2012,5329679,4764967,139722,85436,2519880
"Montgomery, IN",2012,1412625,1320276,38090,19847,615661
"Morgan, IN",2012,1318471,2572870,69428,22638,537027
"Newton, IN",2012,337293,495156,14023,5257,132827
"Noble, IN",2012,1596120,1540912,47101,22912,646540
"Ohio, IN",2012,140797,211675,6071,2197,51114
"Orange, IN",2012,567005,634279,19787,9977,253444
"Owen, IN",2012,448603,686683,21475,7478,179092
"Parke, IN",2012,269265,507409,16958,5356,97239
"Perry, IN",2012,610868,592601,19378,8439,245042
"Pike, IN",2012,824487,427563,12583,4534,155051
"Porter, IN",2012,6035788,7339643,166248,76038,2547850
"Posey, IN",2012,2001418,1060838,25597,11811,462726
"Pulaski, IN",2012,498552,492913,13031,6425,172690
"Putnam, IN",2012,892208,1139461,37480,17051,430693
"Randolph, IN",2012,733534,841182,25904,10288,249330
